deck_id,deck_url,mtgo_url,placement,players,placement_of,deck_file
759595,https://www.mtgtop8.com/event?e=73759&d=759595&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73759&d=759595&f=cEDH,3,29,3/29,..\data\mtgtop8\deck_759595.txt
759596,https://www.mtgtop8.com/event?e=73759&d=759596&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73759&d=759596&f=cEDH,3,29,3/29,..\data\mtgtop8\deck_759596.txt
759597,https://www.mtgtop8.com/event?e=73759&d=759597&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73759&d=759597&f=cEDH,5,29,5/29,..\data\mtgtop8\deck_759597.txt
759598,https://www.mtgtop8.com/event?e=73759&d=759598&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73759&d=759598&f=cEDH,5,29,5/29,..\data\mtgtop8\deck_759598.txt
759599,https://www.mtgtop8.com/event?e=73759&d=759599&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73759&d=759599&f=cEDH,5,29,5/29,..\data\mtgtop8\deck_759599.txt
759600,https://www.mtgtop8.com/event?e=73759&d=759600&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73759&d=759600&f=cEDH,5,29,5/29,..\data\mtgtop8\deck_759600.txt
759944,https://www.mtgtop8.com/event?e=73808&d=759944&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73808&d=759944&f=cEDH,1,80,1/80,..\data\mtgtop8\deck_759944.txt
759945,https://www.mtgtop8.com/event?e=73808&d=759945&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73808&d=759945&f=cEDH,2,80,2/80,..\data\mtgtop8\deck_759945.txt
759946,https://www.mtgtop8.com/event?e=73808&d=759946&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73808&d=759946&f=cEDH,3,80,3/80,..\data\mtgtop8\deck_759946.txt
759947,https://www.mtgtop8.com/event?e=73808&d=759947&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73808&d=759947&f=cEDH,3,80,3/80,..\data\mtgtop8\deck_759947.txt
759948,https://www.mtgtop8.com/event?e=73808&d=759948&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73808&d=759948&f=cEDH,5,80,5/80,..\data\mtgtop8\deck_759948.txt
759949,https://www.mtgtop8.com/event?e=73808&d=759949&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73808&d=759949&f=cEDH,5,80,5/80,..\data\mtgtop8\deck_759949.txt
759950,https://www.mtgtop8.com/event?e=73808&d=759950&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73808&d=759950&f=cEDH,5,80,5/80,..\data\mtgtop8\deck_759950.txt
759951,https://www.mtgtop8.com/event?e=73808&d=759951&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73808&d=759951&f=cEDH,5,80,5/80,..\data\mtgtop8\deck_759951.txt
759952,https://www.mtgtop8.com/event?e=73808&d=759952&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73808&d=759952&f=cEDH,9,80,9/80,..\data\mtgtop8\deck_759952.txt
759953,https://www.mtgtop8.com/event?e=73808&d=759953&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73808&d=759953&f=cEDH,9,80,9/80,..\data\mtgtop8\deck_759953.txt
759954,https://www.mtgtop8.com/event?e=73808&d=759954&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73808&d=759954&f=cEDH,9,80,9/80,..\data\mtgtop8\deck_759954.txt
759955,https://www.mtgtop8.com/event?e=73808&d=759955&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73808&d=759955&f=cEDH,9,80,9/80,..\data\mtgtop8\deck_759955.txt
759956,https://www.mtgtop8.com/event?e=73808&d=759956&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73808&d=759956&f=cEDH,9,80,9/80,..\data\mtgtop8\deck_759956.txt
759957,https://www.mtgtop8.com/event?e=73808&d=759957&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73808&d=759957&f=cEDH,9,80,9/80,..\data\mtgtop8\deck_759957.txt
759601,https://www.mtgtop8.com/event?e=73760&d=759601&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73760&d=759601&f=cEDH,1,16,1/16,..\data\mtgtop8\deck_759601.txt
759602,https://www.mtgtop8.com/event?e=73760&d=759602&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73760&d=759602&f=cEDH,2,16,2/16,..\data\mtgtop8\deck_759602.txt
759603,https://www.mtgtop8.com/event?e=73760&d=759603&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73760&d=759603&f=cEDH,3,16,3/16,..\data\mtgtop8\deck_759603.txt
759604,https://www.mtgtop8.com/event?e=73760&d=759604&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73760&d=759604&f=cEDH,3,16,3/16,..\data\mtgtop8\deck_759604.txt
759605,https://www.mtgtop8.com/event?e=73760&d=759605&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73760&d=759605&f=cEDH,5,16,5/16,..\data\mtgtop8\deck_759605.txt
759606,https://www.mtgtop8.com/event?e=73760&d=759606&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73760&d=759606&f=cEDH,5,16,5/16,..\data\mtgtop8\deck_759606.txt
759607,https://www.mtgtop8.com/event?e=73760&d=759607&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73760&d=759607&f=cEDH,5,16,5/16,..\data\mtgtop8\deck_759607.txt
759608,https://www.mtgtop8.com/event?e=73760&d=759608&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73760&d=759608&f=cEDH,5,16,5/16,..\data\mtgtop8\deck_759608.txt
759671,https://www.mtgtop8.com/event?e=73775&d=759671&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73775&d=759671&f=cEDH,1,18,1/18,..\data\mtgtop8\deck_759671.txt
759672,https://www.mtgtop8.com/event?e=73775&d=759672&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73775&d=759672&f=cEDH,2,18,2/18,..\data\mtgtop8\deck_759672.txt
759673,https://www.mtgtop8.com/event?e=73775&d=759673&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73775&d=759673&f=cEDH,3,18,3/18,..\data\mtgtop8\deck_759673.txt
759674,https://www.mtgtop8.com/event?e=73775&d=759674&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73775&d=759674&f=cEDH,3,18,3/18,..\data\mtgtop8\deck_759674.txt
759675,https://www.mtgtop8.com/event?e=73775&d=759675&f=cEDH,https://www.mtgtop8.com/mtgo/event?e=73775&d=759675&f=cEDH,5,18,5/18,..\data\mtgtop8\deck_759675.txt
